,room,capacity,time,occupancy,occupancyCount
225,B003,90,Thu Nov 12 10:00:00,0%,0.0
226,B003,90,Thu Nov 12 11:00:00,25%,22.5
227,B003,90,Thu Nov 12 12:00:00,25%,22.5
228,B003,90,Thu Nov 12 13:00:00,0%,0.0
229,B003,90,Thu Nov 12 14:00:00,25%,22.5
230,B003,90,Thu Nov 12 15:00:00,25%,22.5
231,B003,90,Thu Nov 12 16:00:00,0%,0.0
232,B003,90,Fri Nov 13 09:00:00,50%,45.0
233,B003,90,Fri Nov 13 10:00:00,50%,45.0
234,B003,90,Fri Nov 13 11:00:00,25%,22.5
235,B003,90,Fri Nov 13 12:00:00,25%,22.5
236,B003,90,Fri Nov 13 13:00:00,0%,0.0
237,B003,90,Fri Nov 13 14:00:00,50%,45.0
238,B003,90,Fri Nov 13 15:00:00,25%,22.5
239,B003,90,Fri Nov 13 16:00:00,25%,22.5
240,B1.06,90,Mon Nov 02 09:00:00,100%,90.0
241,B1.06,90,Mon Nov 02 10:00:00,100%,90.0
242,B1.06,90,Mon Nov 02 11:00:00,25%,22.5
243,B1.06,90,Mon Nov 02 12:00:00,25%,22.5
244,B1.06,90,Mon Nov 02 13:00:00,100%,90.0
245,B1.06,90,Mon Nov 02 14:00:00,100%,90.0
246,B1.06,90,Mon Nov 02 15:00:00,100%,90.0
247,B1.06,90,Mon Nov 02 16:00:00,50%,45.0
248,B1.06,90,Tue Nov 03 09:00:00,0%,0.0
249,B1.06,90,Tue Nov 03 10:00:00,50%,45.0
250,B1.06,90,Tue Nov 03 11:00:00,75%,67.5
251,B1.06,90,Tue Nov 03 12:00:00,0%,0.0
252,B1.06,90,Tue Nov 03 13:00:00,0%,0.0
253,B1.06,90,Tue Nov 03 14:00:00,50%,45.0
254,B1.06,90,Tue Nov 03 15:00:00,75%,67.5
255,B1.06,90,Tue Nov 03 16:00:00,50%,45.0
256,B1.06,90,Wed Nov 04 09:00:00,75%,67.5
257,B1.06,90,Wed Nov 04 10:00:00,75%,67.5
258,B1.06,90,Wed Nov 04 11:00:00,0%,0.0
259,B1.06,90,Wed Nov 04 12:00:00,50%,45.0
260,B1.06,90,Wed Nov 04 13:00:00,50%,45.0
261,B1.06,90,Wed Nov 04 14:00:00,50%,45.0
262,B1.06,90,Wed Nov 04 15:00:00,75%,67.5
263,B1.06,90,Wed Nov 04 16:00:00,0%,0.0
264,B1.06,90,Thu Nov 05 09:00:00,0%,0.0
265,B1.06,90,Thu Nov 05 10:00:00,50%,45.0
266,B1.06,90,Thu Nov 05 11:00:00,50%,45.0
267,B1.06,90,Thu Nov 05 12:00:00,50%,45.0
268,B1.06,90,Thu Nov 05 13:00:00,25%,22.5
269,B1.06,90,Thu Nov 05 14:00:00,50%,45.0
270,B1.06,90,Thu Nov 05 15:00:00,25%,22.5
271,B1.06,90,Thu Nov 05 16:00:00,25%,22.5
272,B1.06,90,Fri Nov 06 09:00:00,50%,45.0
273,B1.06,90,Fri Nov 06 10:00:00,50%,45.0
274,B1.06,90,Fri Nov 06 11:00:00,100%,90.0
275,B1.06,90,Fri Nov 06 12:00:00,25%,22.5
276,B1.06,90,Fri Nov 06 13:00:00,0%,0.0
277,B1.06,90,Fri Nov 06 14:00:00,50%,45.0
278,B1.06,90,Fri Nov 06 15:00:00,100%,90.0
279,B1.06,90,Fri Nov 06 16:00:00,75%,67.5
280,B1.06,90,Mon Nov 09 09:00:00,100%,90.0
281,B1.06,90,Mon Nov 09 10:00:00,75%,67.5
282,B1.06,90,Mon Nov 09 11:00:00,0%,0.0
283,B1.06,90,Mon Nov 09 12:00:00,0%,0.0
284,B1.06,90,Mon Nov 09 13:00:00,25%,22.5
285,B1.06,90,Mon Nov 09 14:00:00,50%,45.0
286,B1.06,90,Mon Nov 09 15:00:00,100%,90.0
287,B1.06,90,Mon Nov 09 16:00:00,75%,67.5
288,B1.06,90,Tue Nov 10 09:00:00,0%,0.0
289,B1.06,90,Tue Nov 10 10:00:00,0%,0.0
290,B1.06,90,Tue Nov 10 11:00:00,75%,67.5
291,B1.06,90,Tue Nov 10 12:00:00,75%,67.5
292,B1.06,90,Tue Nov 10 13:00:00,50%,45.0
293,B1.06,90,Tue Nov 10 14:00:00,75%,67.5
294,B1.06,90,Tue Nov 10 15:00:00,50%,45.0
295,B1.06,90,Tue Nov 10 16:00:00,50%,45.0
296,B1.06,90,Wed Nov 11 09:00:00,75%,67.5
297,B1.06,90,Wed Nov 11 10:00:00,50%,45.0
298,B1.06,90,Wed Nov 11 11:00:00,25%,22.5
299,B1.06,90,Wed Nov 11 12:00:00,25%,22.5
300,B1.06,90,Wed Nov 11 13:00:00,25%,22.5
301,B1.06,90,Wed Nov 11 14:00:00,50%,45.0
302,B1.06,90,Wed Nov 11 15:00:00,25%,22.5
303,B1.06,90,Wed Nov 11 16:00:00,0%,0.0
304,B1.06,90,Thu Nov 12 09:00:00,0%,0.0
305,B1.06,90,Thu Nov 12 10:00:00,0%,0.0
306,B1.06,90,Thu Nov 12 11:00:00,25%,22.5
307,B1.06,90,Thu Nov 12 12:00:00,25%,22.5
308,B1.06,90,Thu Nov 12 13:00:00,25%,22.5
309,B1.06,90,Thu Nov 12 14:00:00,50%,45.0
310,B1.06,90,Thu Nov 12 15:00:00,25%,22.5
311,B1.06,90,Thu Nov 12 16:00:00,25%,22.5
312,B1.06,90,Fri Nov 13 09:00:00,50%,45.0
313,B1.06,90,Fri Nov 13 10:00:00,25%,22.5
314,B1.06,90,Fri Nov 13 11:00:00,25%,22.5
315,B1.06,90,Fri Nov 13 12:00:00,50%,45.0
316,B1.06,90,Fri Nov 13 13:00:00,50%,45.0
317,B1.06,90,Fri Nov 13 14:00:00,0%,0.0
318,B1.06,90,Fri Nov 13 15:00:00,0%,0.0
319,B1.06,90,Fri Nov 13 16:00:00,0%,0.0
320,B1.08,40,Mon Nov 02 09:00:00,0%,0.0
321,B1.08,40,Mon Nov 02 10:00:00,50%,20.0
322,B1.08,40,Mon Nov 02 11:00:00,0%,0.0
323,B1.08,40,Mon Nov 02 12:00:00,50%,20.0
324,B1.08,40,Mon Nov 02 13:00:00,50%,20.0
325,B1.08,40,Mon Nov 02 14:00:00,75%,30.0
326,B1.08,40,Mon Nov 02 15:00:00,25%,10.0
327,B1.08,40,Mon Nov 02 16:00:00,75%,30.0
328,B1.08,40,Tue Nov 03 09:00:00,0%,0.0
329,B1.08,40,Tue Nov 03 10:00:00,25%,10.0
330,B1.08,40,Tue Nov 03 11:00:00,25%,10.0
331,B1.08,40,Tue Nov 03 12:00:00,0%,0.0
332,B1.08,40,Tue Nov 03 13:00:00,0%,0.0
333,B1.08,40,Tue Nov 03 14:00:00,50%,20.0
334,B1.08,40,Tue Nov 03 15:00:00,75%,30.0
335,B1.08,40,Tue Nov 03 16:00:00,50%,20.0
336,B1.08,40,Wed Nov 04 09:00:00,0%,0.0
337,B1.08,40,Wed Nov 04 10:00:00,25%,10.0
338,B1.08,40,Wed Nov 04 11:00:00,25%,10.0
339,B1.08,40,Wed Nov 04 12:00:00,25%,10.0
340,B1.08,40,Wed Nov 04 13:00:00,0%,0.0
341,B1.08,40,Wed Nov 04 14:00:00,50%,20.0
342,B1.08,40,Wed Nov 04 15:00:00,25%,10.0
343,B1.08,40,Wed Nov 04 16:00:00,0%,0.0
344,B1.08,40,Thu Nov 05 09:00:00,0%,0.0
345,B1.08,40,Thu Nov 05 10:00:00,0%,0.0
346,B1.08,40,Thu Nov 05 11:00:00,0%,0.0
347,B1.08,40,Thu Nov 05 12:00:00,0%,0.0
348,B1.08,40,Thu Nov 05 13:00:00,75%,30.0
349,B1.08,40,Thu Nov 05 14:00:00,75%,30.0
350,B1.08,40,Thu Nov 05 15:00:00,25%,10.0
351,B1.08,40,Thu Nov 05 16:00:00,25%,10.0
352,B1.08,40,Fri Nov 06 09:00:00,0%,0.0
353,B1.08,40,Fri Nov 06 10:00:00,0%,0.0
