,campus,building,room,time,associated,authenticated,capacity,occupancy,occupancyCount,module,size
274,Belfield,Computer Science,B002,Tue Nov 03 19:26:49,1.0,1.0,,,,,
275,Belfield,Computer Science,B002,Tue Nov 03 19:31:55,0.0,0.0,,,,,
276,Belfield,Computer Science,B002,Tue Nov 03 19:36:56,0.0,0.0,,,,,
277,Belfield,Computer Science,B002,Tue Nov 03 19:41:54,0.0,0.0,,,,,
278,Belfield,Computer Science,B002,Tue Nov 03 19:46:56,0.0,0.0,,,,,
279,Belfield,Computer Science,B002,Tue Nov 03 19:51:55,0.0,0.0,,,,,
280,Belfield,Computer Science,B002,Tue Nov 03 19:57:01,0.0,0.0,,,,,
281,Belfield,Computer Science,B002,Tue Nov 03 20:02:03,0.0,0.0,,,,,
282,Belfield,Computer Science,B002,Tue Nov 03 20:07:02,0.0,0.0,,,,,
283,Belfield,Computer Science,B002,Tue Nov 03 20:12:02,0.0,0.0,,,,,
284,Belfield,Computer Science,B002,Tue Nov 03 20:17:06,0.0,0.0,,,,,
285,Belfield,Computer Science,B002,Tue Nov 03 20:22:03,0.0,0.0,,,,,
286,Belfield,Computer Science,B002,Tue Nov 03 20:27:08,0.0,0.0,,,,,
287,Belfield,Computer Science,B002,Tue Nov 03 20:32:06,0.0,0.0,,,,,
288,Belfield,Computer Science,B002,Tue Nov 03 20:37:06,0.0,0.0,,,,,
289,Belfield,Computer Science,B002,Tue Nov 03 20:42:13,0.0,0.0,,,,,
290,Belfield,Computer Science,B002,Tue Nov 03 20:47:06,0.0,0.0,,,,,
291,Belfield,Computer Science,B002,Tue Nov 03 20:52:10,0.0,0.0,,,,,
292,Belfield,Computer Science,B002,Tue Nov 03 20:57:14,0.0,0.0,,,,,
293,Belfield,Computer Science,B002,Tue Nov 03 21:02:13,0.0,0.0,,,,,
294,Belfield,Computer Science,B002,Tue Nov 03 21:07:15,0.0,0.0,,,,,
295,Belfield,Computer Science,B002,Tue Nov 03 21:12:18,0.0,0.0,,,,,
296,Belfield,Computer Science,B002,Tue Nov 03 21:17:16,0.0,0.0,,,,,
297,Belfield,Computer Science,B002,Tue Nov 03 21:22:20,0.0,0.0,,,,,
298,Belfield,Computer Science,B002,Tue Nov 03 21:27:21,0.0,0.0,,,,,
299,Belfield,Computer Science,B002,Tue Nov 03 21:32:35,0.0,0.0,,,,,
300,Belfield,Computer Science,B002,Tue Nov 03 21:37:25,0.0,0.0,,,,,
301,Belfield,Computer Science,B002,Tue Nov 03 21:42:24,0.0,0.0,,,,,
302,Belfield,Computer Science,B002,Tue Nov 03 21:47:26,0.0,0.0,,,,,
303,Belfield,Computer Science,B002,Tue Nov 03 21:52:27,0.0,0.0,,,,,
304,Belfield,Computer Science,B002,Tue Nov 03 21:57:28,0.0,0.0,,,,,
305,Belfield,Computer Science,B002,Tue Nov 03 22:02:29,0.0,0.0,,,,,
306,Belfield,Computer Science,B002,Tue Nov 03 22:07:35,0.0,0.0,,,,,
307,Belfield,Computer Science,B002,Tue Nov 03 22:12:39,0.0,0.0,,,,,
308,Belfield,Computer Science,B002,Tue Nov 03 22:17:40,0.0,0.0,,,,,
309,Belfield,Computer Science,B002,Tue Nov 03 22:22:38,0.0,0.0,,,,,
310,Belfield,Computer Science,B002,Tue Nov 03 22:27:41,0.0,0.0,,,,,
311,Belfield,Computer Science,B002,Tue Nov 03 22:32:45,0.0,0.0,,,,,
312,Belfield,Computer Science,B002,Tue Nov 03 22:37:38,0.0,0.0,,,,,
313,Belfield,Computer Science,B002,Tue Nov 03 22:42:58,0.0,0.0,,,,,
