,room,capacity,occupancy,day,month,date,time
301,B1.06,90,50%,Wed,Nov,11,14:00:00
302,B1.06,90,25%,Wed,Nov,11,15:00:00
303,B1.06,90,0%,Wed,Nov,11,16:00:00
304,B1.06,90,0%,Thu,Nov,12,09:00:00
305,B1.06,90,0%,Thu,Nov,12,10:00:00
306,B1.06,90,25%,Thu,Nov,12,11:00:00
307,B1.06,90,25%,Thu,Nov,12,12:00:00
308,B1.06,90,25%,Thu,Nov,12,13:00:00
309,B1.06,90,50%,Thu,Nov,12,14:00:00
310,B1.06,90,25%,Thu,Nov,12,15:00:00
311,B1.06,90,25%,Thu,Nov,12,16:00:00
312,B1.06,90,50%,Fri,Nov,13,09:00:00
313,B1.06,90,25%,Fri,Nov,13,10:00:00
314,B1.06,90,25%,Fri,Nov,13,11:00:00
315,B1.06,90,50%,Fri,Nov,13,12:00:00
316,B1.06,90,50%,Fri,Nov,13,13:00:00
317,B1.06,90,0%,Fri,Nov,13,14:00:00
318,B1.06,90,0%,Fri,Nov,13,15:00:00
319,B1.06,90,0%,Fri,Nov,13,16:00:00
320,B1.08,40,0%,Mon,Nov,02,09:00:00
321,B1.08,40,50%,Mon,Nov,02,10:00:00
322,B1.08,40,0%,Mon,Nov,02,11:00:00
323,B1.08,40,50%,Mon,Nov,02,12:00:00
324,B1.08,40,50%,Mon,Nov,02,13:00:00
325,B1.08,40,75%,Mon,Nov,02,14:00:00
326,B1.08,40,25%,Mon,Nov,02,15:00:00
327,B1.08,40,75%,Mon,Nov,02,16:00:00
328,B1.08,40,0%,Tue,Nov,03,09:00:00
329,B1.08,40,25%,Tue,Nov,03,10:00:00
330,B1.08,40,25%,Tue,Nov,03,11:00:00
331,B1.08,40,0%,Tue,Nov,03,12:00:00
332,B1.08,40,0%,Tue,Nov,03,13:00:00
333,B1.08,40,50%,Tue,Nov,03,14:00:00
334,B1.08,40,75%,Tue,Nov,03,15:00:00
335,B1.08,40,50%,Tue,Nov,03,16:00:00
336,B1.08,40,0%,Wed,Nov,04,09:00:00
337,B1.08,40,25%,Wed,Nov,04,10:00:00
338,B1.08,40,25%,Wed,Nov,04,11:00:00
339,B1.08,40,25%,Wed,Nov,04,12:00:00
340,B1.08,40,0%,Wed,Nov,04,13:00:00
341,B1.08,40,50%,Wed,Nov,04,14:00:00
342,B1.08,40,25%,Wed,Nov,04,15:00:00
343,B1.08,40,0%,Wed,Nov,04,16:00:00
344,B1.08,40,0%,Thu,Nov,05,09:00:00
345,B1.08,40,0%,Thu,Nov,05,10:00:00
346,B1.08,40,0%,Thu,Nov,05,11:00:00
347,B1.08,40,0%,Thu,Nov,05,12:00:00
348,B1.08,40,75%,Thu,Nov,05,13:00:00
349,B1.08,40,75%,Thu,Nov,05,14:00:00
350,B1.08,40,25%,Thu,Nov,05,15:00:00
351,B1.08,40,25%,Thu,Nov,05,16:00:00
352,B1.08,40,0%,Fri,Nov,06,09:00:00
